English	Spanish
Your joke is funny no matter how many times I hear it.	Tu chiste me resulta gracioso sin importar el número de veces que lo escuche.
I am crazy about golf.	Estoy loco por el golf.
You can't fight a good fight with such a defeatist attitude.	No puedes dar una buena pelea con una actitud tan pesimista.
I'm too fat.	Yo soy demasiado gordo.
She ran out of paper.	A ella se le acabó el papel.
May I ask you what your weight is?	¿Le importa decirme su peso?
I’ve started learning Esperanto.	Empecé a estudiar esperanto.
I write to my mother once a month.	Le escribo a mi madre una vez al mes.
I'm sure Tom will be able to persuade Mary to go to Boston with him.	Estoy seguro de que Tom podrá persuadir a Mary de ir a Boston con él.
Have you ever assembled a computer by yourself?	¿Has montado alguna vez un ordenador por ti mismo?
Tom is as old as Mary.	Tomás tiene la misma edad que María.
Tom asked me what the problem was.	Tom me preguntó cuál era el problema.
I've been cheated again.	He sido engañado de nuevo.
Tom saw Mary and John flirting with each other.	Tom vio a Mary y John tonteando entre sí.
Mary looks like her mother, but her personality is different.	Mary se parece a su madre físicamente pero su personalidad es diferente.
Don't mix business with pleasure.	No revuelvas el negocio con el placer.
Tom fumbled in his pocket for the keys.	Tom rebuscó en su bolsillo las llaves.
It's a pity that Mary has no sense of humor.	Es una lástima que Mary no tenga sentido del humor.
Tom was deeply moved by what Mary said.	Tom estaba profundamente conmovido por lo que Mary dijo.
I told you to stay put.	Te dije que te quedaras quieto.
I think time will solve the problem.	Pienso que el tiempo solucionará el problema.
Tom got very weak.	Tom se debilitó.
I missed the last train, so I had to walk all the way home.	Perdí el último tren, así que tuve que volver a casa andando.
Tom glared at Mary.	Tom miraba a Mary con desagrado.
How old is he?	¿Cuántos años tiene él?
He helped me carry the chair.	Me ayudó a llevar la silla.
This ticket lets two people in.	Este boleto admite dos personas.
Are these your skis?	¿Son estos tus esquíes?
Tom warned Mary.	Tom advirtió a Mary.
Tom, if you're not too busy, could you come to my office for a minute?	Tom, si no estás demasiado ocupado, ¿podrías venir a mi oficina un minuto?
Tom and Mary died childless.	Tom y Mary murieron sin hijos.
The result remains to be seen.	Aún queda por ver el resultado.
Could you repeat that, please?	¿Podrías repetirlo, por favor?
I am not satisfied with your explanation.	No estoy satisfecho con su explicación.
Don't spend so much time watching TV.	No pases tanto tiempo viendo la tele.
I guess you don't remember me.	Supongo que no te acuerdas de mí.
That's my mom's chihuahua.	Ese es el chihuahua de mi mamá.
I knelt down to tie my shoes.	Me arrodillé para abrocharme los zapatos.
Tom bumped into Mary on his way to school.	Tom se topó con Mary cuando iba a la escuela.
Are they gone?	¿Se han ido?
You've stalled long enough, Tom.	Tú nos has dado largas demasiado tiempo, Tom.
This tea is called green tea.	A este lo llaman té verde.
The apple doesn't fall far from the tree.	La manzana no cae lejos del árbol.
I had difficulty getting a ticket for the concert.	Me costó conseguir una entrada para el concierto.
You look wonderful tonight.	Esta noche estás magnífica.
I prefer going out to staying at home.	Prefiero salir a quedarme en la casa.
Turn on the light, please.	Enciende la luz, por favor.
Although I really hate grammar, it's useful.	Aunque odio de veras la gramática, resulta útil.
Did your wish come true?	¿Se te cumplió tu deseo?
It's impossible to know where he has gone.	Es imposible saber adónde él ha ido.
Tom liked beautiful women. He also liked expensive wine and fast sports cars.	A Tom le gustaban las mujeres hermosas. A él también le gustaban el vino lujoso y los autos deportivos.
We're wasting precious time.	Estamos desperdiciando tiempo precioso.
Tom likes to do almost everything by himself.	A Tom le gusta hacer casi todo solo.
He behaved as if he were crazy.	Él se comportaba como loco.
America's economy is the largest in the world.	La economía de Estados Unidos es la más grande del mundo.
I wasn't the only one who didn't know Tom.	No era el único que no conocía a Tom.
Tom doesn't care what people think about him.	A Tom no le importa lo que la gente piense de él.
Tom isn't interested in politics at all.	A Tom no le interesa para nada la política.
She's used to getting up early.	Está acostumbrada a levantarse pronto.
It never occurred to me that my words would hurt her feelings.	Nunca pensé que mis palabras le harían daño.
Tomorrow I'm going to Paris.	Voy a París mañana.
I don't know what Tom thought.	No sé en qué pensó Tom.
I asked Tom for Mary's phone number.	Le pedí el número de Mary a Tom.
Open the hatch.	Abre la trampilla.
What was Mary's last name before she got married?	¿Cuál era el apellido de María antes de casarse?
Is it going to rain tomorrow?	¿Lloverá mañana?
How many Christmas cards did you send?	¿Cuántas tarjetas de Navidad has mandado?
Be sure to pick up some milk.	Acuérdate de comprar leche.
He knows how to pluck a chicken.	Él sabe como desplumar una gallina.
Do you like your boss?	¿Te agrada tu jefe?
I enjoy being a teacher.	Disfruto ser profesor.
She was watching the dead leaves fall.	Ella veía a las hojas muertas caer.
She sat down and crossed her legs.	Ella se sentó y se cruzó de piernas.
Tom thought Mary was hiding something from him.	Tom pensaba que Mary le estaba ocultando algo.
I don't think Tom has too many friends.	No creo que Tom tenga muchos amigos.
Do you have a complaint to make?	¿Tienes alguna queja?
We'll play it by ear.	Lo tocaremos de oído.
I think he is sick.	Creo que está enferma.
You betrayed me.	Me traicionaste.
Describe Tom.	Describilo a Tomás.
Instead of complaining, maybe you should help.	En lugar de quejaros, quizá deberíais ayudar.
The firefighters rescued them from the elevator.	Los bomberos les rescataron del ascensor.
You can't park your car here.	No puedes aparcar aquí.
We've arrived.	Hemos llegado.
Someone else must've seen what happened.	Alguien más debe haber visto lo que sucedió.
I very much want to speak with you.	En verdad quiero hablar contigo.
I was waiting for you.	Os esperaba.
He has white teeth.	Tiene los dientes blancos.
He believed they were destroying it.	Él creyó que lo estaban destruyendo.
Tom needs us.	Tom nos necesita.
The prisoner escaped from prison.	El prisionero escapó de prisión.
We suddenly realized what was happening.	Repentinamente comprendimos lo que estaba pasando.
You should prepare for the future.	Te deberías preparar para el futuro.
Go to the hospital.	Vete al hospital.
Tom's life was changed forever.	La vida de Tom cambió para siempre.
The lake is three miles across.	El lago tiene tres millas de anchura.
Tom does nothing but watch TV all day.	Tom no hace nada más que ver televisión todo el día.
I never had the opportunity to use it.	Nunca tuve la oportunidad de usarlo.
I want to buy a drone, but my parents won't let me.	Quiero comprarme un dron pero mis padres no me van a dejar.
I have a little money.	Tengo un poco de dinero.
My father often washes the dishes.	Mi padre cada tanto lava los platos.
Tom couldn't understand why Mary refused to even listen to him.	Tom no entendía por qué Mary hasta se rehusaba a escucharlo.
My father owns a small business in Fukuoka.	Mi padre tiene una pequeña tienda en Fukuoka.
They have drunk two bottles of wine.	Ellos se bebieron dos botellas de vino.
Is there a good restaurant somewhere near here?	¿Hay un buen restaurante por aquí cerca?
They are happy.	Ellos están felices.
Smell what's in this bottle.	Huele lo que hay en esta botella.
He looks like a bug.	Parece un insecto.
That was two years ago.	Eso era hace dos años.
As soon as he saw me, he ran away.	Se fue corriendo apenas me vio.
Can you guess what I have here?	¿Puedes adivinar lo que tengo aquí?
It's my turn.	Me toca.
We spent a lot of time together.	Pasamos mucho tiempo juntos.
Tom expected it to cost a lot more.	Tom esperaba que costaría mucho más.
Please listen carefully.	Por favor, escuche con atención.
I've had a headache for three days and I can't get rid of it.	Hace tres días que tengo dolor de cabeza y no se me va.
I bought this book for myself, not for my wife.	Compré este libro para mí, no para mi esposa.
Forgiveness is the greatest gift of all.	El perdón es el regalo más grande.
Where are your papers?	¿Dónde están tus papeles?
You don't seem very satisfied.	No pareces muy satisfecho.
I'm a lonely man.	Soy un hombre solitario.
Guide dogs help blind people.	Los perros guías ayudan a la gente ciega.
Let's mop the floor.	Limpiemos el piso.
Tell me it isn't true.	Decime que no es verdad.
Please say hello to her.	Por favor, salúdame a ella.
They have twelve children.	Ellos tienen doce hijos.
You should have enough sense not to drink, at least during your illness.	Deberías ser lo suficientemente razonable para no beber, al menos mientras estás enfermo.
The heavy rain prevented me from going out.	La fuerte lluvia no me dejó salir.
I'll stay here until ten.	Estaré aquí hasta las diez.
Florence is the most beautiful city in Italy.	Florencia es la ciudad más bonita de Italia.
Mary finished putting on her makeup.	Mary terminó de ponerse el maquillaje.
It's a secret. You can't let anyone else know.	Es un secreto. No se lo puedes decir a nadie más.
Such a ridiculous superstition no longer exists.	Ya no existe esa superstición tan absurda.
Tom lit a candle.	Tomás encendió una vela.
It smells weird, doesn't it?	¿No huele a algo extraño?
Tom is not my son.	Tom no es mi hijo.
Tom isn't a fool.	Tom no es un tonto.
She always wins arguments.	Ella siempre gana las discusiones.
Now I'm a little scared.	Ahora estoy un poco asustado.
The baby seemed to be in a deep sleep.	El bebe parecía estar profundamente dormido.
He is generally at home in the evening.	Él suele estar en casa por la tarde.
I am worried about my mother's health.	Estoy preocupada por la salud de mi madre.
Will you explain it in plain English?	¿Lo puedes explicar en cristiano?
I gave him three textbooks in exchange for his help.	Le di tres libros de texto a cambio de su ayuda.
Tom teaches us French.	Tom nos enseña francés.
Something's happening.	Algo está pasando.
Not all books are good books.	No todos los libros son buenos libros.
Take the one you like best, whichever it is.	Toma el que más te guste, sea cuál sea.
The town where I was born is beautiful.	La ciudad en que nací es muy bonita.
What does that have to do with me?	¿Qué tiene que ver eso conmigo?
What is his nationality?	¿Cuál es su nacionalidad?
My friend Tom has twice as many stamps as I do.	Mi amigo Tom tiene el doble de sellos que yo.
Please help me in the kitchen.	¡Ayúdame en la cocina, por favor!
In my opinion, it's better to change the policy.	A mi entender es mejor cambiar de procedimiento.
He always ate fruit for dessert.	De postre siempre tomaba fruta.
Someday I'll run like the wind.	Algún día correré como el viento.
I've just finished packing.	Acabo de terminar de empacar.
A few minutes is all I ask.	Tan solo pido unos minutos.
My father likes strong coffee.	A mi papá le gusta el café fuerte.
Everyone quieted down.	Todos bajaron la voz.
You want it, don't you?	Quieres esto, ¿verdad?
I'm learning English.	Estoy aprendiendo inglés.
Show your cards.	Muestra tus cartas.
Strangely enough, I didn't feel any pain at all.	Aunque parezca mentira, no sentí ningún dolor en absoluto.
They caught up with us quickly.	Nos alcanzaron muy pronto.
I've never seen you laugh.	Nunca te he visto reír.
Armenian is an Indo-European language.	El armenio es un idioma indoeuropeo.
Everyone's watching Tom.	Todo el mundo está mirando a Tom.
What are you doing today?	¿Qué vas a hacer hoy?
Where was he going?	¿Para dónde iba él?
Tom wasn't able to answer Mary's question.	Tom no fue capaz de responder la pregunta de Mary.
I shut the door so that they couldn't hear us.	Cerré la puerta para que ellos no pudieran oírnos.
He was sentenced to three years in jail.	Él fue condenado a tres años en prisión.
She can play the piano.	Ella sabe tocar el piano.
I only wear a hat in the winter.	Sólo me pongo sombrero en invierno.
I'm my own boss.	Soy mi propio jefe.
Tom divorced Mary after the children graduated from college.	Tom se divorció de Mary después de que los niños salieran de la universidad.
His letter says he'll arrive next Sunday.	En su carta pone que vendrá el domingo que viene.
I like the slow rhythm of that song.	Me gusta el ritmo lento de esa canción.
He is tired.	Él está cansado.
Stop! Thief!	¡Alto! ¡Ladrón!
Tom has lived in Boston for a long time.	Tom ha vivido en Boston mucho tiempo.
The British had more troops than the other side.	Los británicos tenían más tropas que el otro lado.
She must be ill in bed.	Debe de estar en la cama enfermo.
Mom, where's the cat?	Mamá, ¿dónde está el gato?
These facts prove that he is innocent.	Este hecho demuestra su inocencia.
Tom couldn't think about anything else.	Tom no podía pensar en nada más.
We agreed to refrain from smoking while we are at work.	Estamos de acuerdo en abstenernos de fumar mientras estemos en el trabajo.
The week is over.	La semana terminó.
He was the king of rock-and-roll.	Él era el rey del rock'n'roll.
The next concert will take place in June.	El próximo concierto será en junio.
I am a tennis player.	Soy tenista.
We're getting out of here. The cops are coming.	Larguémonos de aquí, viene la pasma.
We have a lot of snow in the winter.	Tenemos mucha nieve en invierno.
You are blinded by love.	El amor te ciega.
What did you buy this expensive dictionary for?	¿Para qué has comprado este diccionario tan caro?
Yesterday they fired seven employees.	Ayer cesaron a siete empleados.
He likes ham and eggs.	Le gusta el jamón y los huevos.
It's evidently necessary.	Eso es evidentemente necesario.
Who did you kill?	¿A quién mataste?
Just do what I tell you.	Nomás haz lo que te diga.
Tom unlocked the car door.	Tom le quitó la llave a la puerta del auto.
Keep smiling.	Continúa sonriendo.
I met her at the church.	Me la encontré en la iglesia.
You have been busy.	Ustedes han estado ocupados.
I like the way you look.	Me gusta cómo luces.
I love the flowers you sent me.	Me encantan las flores que me mandaste.
Sunday is the day when people go to church.	El domingo es el día en el que la gente va a la iglesia.
They gave a big party for me.	Ellos me hicieron una gran fiesta.
Respect your elders.	Respeta a tus mayores.
At that moment, I realized I'd forgotten my wallet at home.	En ese momento me di cuenta de que se me había quedado la billetera en la casa.
I want you to sit here.	Quiero que se sienten aquí.
I didn't know you had company.	No sabía que tenías compañía.
Tom and Mary are husband and wife.	Tom y Mary son marido y mujer.
I won't go away.	No me voy a ir.
Keeping a diary is a good habit.	Llevar un diario de vida es un buen hábito.
Some children are swimming in the sea.	Algunos niños están nadando en el mar.
You can have the day off.	Puedes cogerte el día libre.
Whose wine is this?	¿De quién es este vino?
The river has its source in the Rocky Mountains.	El río nace en las montañas Rocosas.
There's something I want to try.	Hay algo que quiero probar.
Take action.	Actúa.
Tom doesn't know who wrote the graffiti on the wall.	Tom no sabe quién escribió el grafiti en la pared.
He had the good fortune to marry a pretty girl.	Tuvo la suerte de casarse con una chica muy guapa.
Tom cried all night.	Tom lloró toda la noche.
He felt his heart beating fast.	Él sintió a su corazón latir rápido.
Seven is sometimes considered a lucky number.	El siete es considerado a veces como un número de la suerte.
I don't like movies.	No me gustan las películas.
Tom cut the article out of the newspaper.	Tom recortó el artículo del periódico.
Charlemagne was crowned by the Pope.	Carlomagno fue coronado por el Papa.
I tried to get Tom to help Mary.	Traté de hacer que Tom ayudara a Mary.
Don't ask questions that you don't want to know the answer to.	No hagas preguntas si no quieres saber las respuestas.
I am sure I met him somewhere, but I do not remember who he is.	Estoy seguro de haberle visto en alguna parte, pero no me acuerdo de quién es.
What happened to you two?	¿Qué les pasó a ustedes dos?
Maybe we could get together sometime and have lunch.	Tal vez podríamos juntarnos alguna vez y almorzar.
You can't run from the past.	No puedes huir del pasado.
If you want to cry, cry.	Si tienes ganas de llorar, llora.
The cart was in the shed.	El carro estaba en el cobertizo.
Haven't you seen the doctor?	¿No ha visto al médico?
I owe him my life.	A él le debo mi vida.
Tom is qualified for this job.	Tom está calificado para este trabajo.
Don't you tell me to relax.	¡No me diga que me relaje!
One wonders how it's possible.	Uno se pregunta cómo es posible.
I've already tried it.	Ya lo intenté.
It's dirt-cheap.	Está botado.
She accused him of having lied to her.	Ella le acusó de haberle mentido.
Can I have one of these?	¿Puedo tener uno de éstos?
Does Tom seem helpless?	¿Tom te parece un pusilánime?
He described the scene in detail.	Describió la escena en detalles.
You have made all my dreams come true.	Has hecho realidad todos mis sueños.
They are all away on holiday this week.	Todos salieron de vacaciones esta semana.
Tom deposited 1,000 dollars in his saving account.	Tom depositó 1.000 dólares en su cuenta de ahorros.
I know I can trust you.	Sé que puedo confiar en ti.
I want to buy another one.	Quiero comprar otra.
He is the last man to take a bribe.	Es el último hombre que acepta un soborno.
Tom crossed his fingers.	Tomás cruzó los dedos.
It's the third biggest city of Serbia.	Es la tercera ciudad más grande de Serbia.
What do you do after school?	¿Qué haces después de clase?
It was half full.	Estaba medio lleno.
Would you like to go abroad?	¿Te gustaría ir al extranjero?
Tom is not like that all the time.	Tom no es así todo el tiempo.
Do you remember the day when we first met?	¿Te acuerdas del día en que nos conocimos?
He fell into a deep depression and decided to off himself.	Cayó en una profunda depresión y decidió ultimarse.
Are you done with this?	¿Has terminado con esto?
I closed the door, but I didn't lock it.	Cerré la puerta, pero no eché el cerrojo.
Athens is in Greece.	Atenas está en Grecia.
It's clear that he stole money from the safe.	Está claro que robó dinero de la caja fuerte.
We've done that.	Hemos hecho eso.
Have you been told why we didn't hire you?	¿Se te dijo por qué nosotros no te contratamos?
She advised him to leave earlier.	Ella le aconsejó que se fuera más temprano.
This is better.	Esto está mejor.
He envies all his friends.	Envidia a todos sus amigos.
I had no difficulty in persuading my father to let me study abroad.	Yo no tuve problemas en persuadir a mi padre de que me dejara estudiar en el extranjero.
This artist died young.	Este artista murió joven.
Tom sat facing Mary.	Tom se sentó encarando a Mary.
I'll do it first thing tomorrow morning.	Será lo primero que haga mañana en la mañana.
She is not honest at all.	No es honesta del todo.
Tom dried the dishes.	Tom secó los platos.
It had snowed.	Había nevado.
The room was hot.	Hacía calor en la habitación.
Tom is eating a cake.	Tom se está comiendo una torta.
I prefer staying to going.	Prefiero quedarme a ir.
I will tell him about it when he comes next time.	Yo le hablaré al respecto la próxima vez que él venga.
Tom appeared confused.	Tom parecía confundido.
A man shouted something, waving his hand.	Un hombre gritaba algo, agitando la mano.
You must be cautious.	Debes ser precavido.
I'm a little busy now.	Ahora mismo estoy un poco ocupada.
This play is a musical.	Esta obra es un musical.
Let's talk about the problem.	Hablemos sobre el problema.
Put the shovel down.	Poné la pala abajo.
Is he married or single?	¿Está casado o es soltero?
I'm looking forward to the party.	Estoy esperando la fiesta con ilusión.
It's rare to meet nice people like you.	Es difícil conocer a gente tan agradable como tú.
Tom found a part-time job near his home.	Tom encontró un trabajo de medio tiempo cerca de su casa.
I don't think she will come back by five.	No creo que ella esté de vuelta para las cinco.
I'm not at all tired.	No estoy nada cansado.
Let's make believe that we're pirates.	Juguemos a los piratas.
That's the absolute truth.	Esa es la verdad absoluta.
I'm being good to you this morning.	Estoy siendo buena con usted esta mañana.
The cat scared me.	El gato me espantó.
He kept his promise.	Él mantuvo su promesa.
I need your passport and three pictures.	Necesito tu pasaporte y tres fotos.
I have a twin sister.	Tengo una hermana gemela.
I ran for a mile.	Yo corrí una milla.
Tom suggested that we wait here.	Tom sugirió que esperáramos aquí.
I'm going to make soup.	Voy a preparar una sopa.
I wanted to thank you for everything you've done for me.	Quería agradecerte todo lo que has hecho por mí.
I'm not in a position to discuss that.	No estoy en una posición para discutir eso.
Why isn't it working?	¿Por qué no funciona?
Tom didn't want to do what Mary suggested.	Tom no quiso hacer lo que sugirió Mary.
I need a new pair of shoes.	Necesito un par de zapatos nuevos.
There's a woman waiting to see you.	Hay una mujer esperando verte.
That's not a solution.	Eso no es una solución.
It was as if they considered me one of them.	Era como si me considerasen uno de ellos.
Tom ran over someone's dog.	Tom atropelló al perro de alguien.
He doesn't have to go to school.	Él no tiene que ir a la escuela.
Tom is donating blood.	Tom está donando sangre.
I'm a Christian.	Soy cristiano.
Give me those.	Deme esos.
You don't speak French, do you?	No hablas nada de francés, ¿verdad?
It's snowing heavily.	Está nevando mucho.
We have yellow apples.	Tenemos manzanas amarillas.
He apologized for his rudeness, but she wouldn't forgive him.	Él pidió disculpas por su conducta, pero ella no lo perdonaría.
We're avoiding Tom.	Estamos evitando a Tom.
You should have come earlier.	Debiste haber venido más pronto.
I'm sorry, I didn't mean to hurt your feelings.	Lo lamento, no quise herir tus sentimientos.
Do you need an ambulance?	¿Necesitas una ambulancia?
I thought it over and decided to tell Tom everything.	Lo medité y decidí decirle todo a Tom.
There is a hole in your sock.	Hay un agujero en tu calcetín.
Tom quit attending university classes.	Tom dejó de asistir a clases universitarias.
I have to leave early to catch the train.	Tengo que salir temprano para tomar el tren.
There is nothing to do today.	No hay nada que hacer hoy.
Tom really didn't want to go to jail.	Tom realmente no quería ir a la cárcel.
The government should invest more money in agriculture.	El gobierno debería invertir más dinero en la agricultura.
The snowstorm continued.	La tormenta de nieve no amainaba.
Tom narrowly escaped being hit.	Tom escapó del golpe por los pelos.
Tom saw his reflection in the mirror.	Tom vio su reflejo en el espejo.
When you travel abroad, you usually need a passport.	Cuando viajas al extranjero, normalmente necesitas el pasaporte.
Come whenever you want.	Ven cuando quieras.
That child wouldn't let go of his mother's hand.	Ese niño no quería soltar la mano de su madre.
The picture on the wall was painted by Picasso.	El cuadro de la pared lo pintó Picasso.
Her old bike squeaked as she rode down the hill.	Su vieja bicicleta chirrió mientras bajaba por la colina.
I don't want to go to bed.	No me quiero ir a la cama.
Why do you love me?	¿Por qué me amas?
You may need a shovel.	Puede que necesites una pala.
He entered the room with his hat off.	Él entró al cuarto sin su sombrero.
Is it true that you caught a scorpion?	¿Es verdad que atrapaste un escorpión?
Santa Claus was standing in the garden.	Papá Noel estaba parado en el jardín.
The police will put you in prison.	La policía te meterá en la cárcel.
Tom wanted to buy a new pair of boots.	Tom quería comprar un nuevo par de botas.
I'm thinking about it.	Estoy pensando en ello.
The door closed with a bang.	La puerta se cerró con un golpe.
Tom lives in a small town where nobody locks their doors.	Tom vive en una pequeña ciudad en donde nadie le pone llave a sus puertas.
Tom didn't say anything at all.	Tom no dijo absolutamente nada.
I thought Tom would never shut up.	Pensé que Tom nunca se callaría.
I was busy all day.	Estuve todo el día ocupado.
There was no one left but me.	No quedaba nadie más que yo.
Tom and Mary did what they were told.	Tom y Mary hacían lo que se les decía.
May I speak to you?	¿Puedo hablar con ustedes?
You really are tall, aren't you?	La verdad es que eres alto, ¿eh?
He did not enjoy his lessons.	Él no disfrutó de sus lecciones.
I cleared the table.	Limpié la mesa.
We have to warn Tom.	Tenemos que prevenir a Tom.
I'm going to keep this one.	Me voy a quedar con esta.
Please call me back in an hour.	Por favor, llámame de vuelta en una hora.
Who's your favorite announcer on CNN?	¿Quién es tu panelista favorito en CNN?
The magazine article said that the value of the yen would rise.	En el artículo de la revista salía que el yen iba a subir.
I slid down the pole.	Me deslicé barra abajo.
Why does Tom like Australia so much?	¿Por qué le gusta tanto Australia a Tom?
I am going to visit the art exhibition one of these days.	Voy a visitar la muestra de arte uno de estos días.
You don't even know my name.	No sabés ni siquiera mi nombre.
She tried to persuade him to organize a boycott.	Ella trató de convencerlo de organizar un boicot.
Van Buren rejected the offer.	Van Buren rechazó la oferta.
Tom wrung the water out of his wet swimsuit.	Tom escurrió el agua de su traje de baño húmedo.
I didn't expect you to get here so soon.	No esperaba que llegaras tan temprano.
How do I solve this problem?	¿Cómo puedo resolver aquel problema?
She looked at herself in the mirror.	Ella se miró en el espejo.
What should I do to stop hiccups?	¿Qué debería hacer para quitarme el hipo?
When will you finish your homework?	¿Cuándo vas a terminar tu tarea?
I'll try my best.	Haré mi mejor intento.
Tom did what he promised to do.	Tom hizo lo que prometió que haría.
Tom left three days ago.	Tom partió tres días atrás.
I was very tired last night.	Anoche estaba muy cansada.
I sat beside her.	Yo me senté al lado de ella.
Could you please put the baby to bed?	¿Podrías acostar al bebé por favor?
I like Roger Federer. What tennis player do you like?	Me gusta Roger Federer. ¿Qué tenista te gusta?
What's taking so long?	¿Qué tarda tanto?
You know everything.	Conoce todo.
Which one will you choose?	¿Cuál escogerás?
I don't like doctors.	No me gustan los médicos.
The typhoon destroyed many houses.	El tifón destruyó muchas casas.
I liked what Tom bought, so I went out and bought one for myself.	Me gustó lo que compró Tom, así que salí y me compré uno para mí.
I found it difficult to keep a diary every day.	Encontré difícil escribir en un diario todos los días.
May I have a moment of your time?	¿Puedo hablar contigo un minuto?
I felt like a rock star.	Me sentí como una estrella de rock.
We'll have to wait for three hours.	Tendremos que esperar tres horas.
Tom watched television yesterday.	Tom vio la televisión ayer.
I was so nervous I almost threw up.	Estaba tan nerviosa que por poco vomité.
What a pity!	¡Qué lástima!
I want you to listen.	Quiero que escuches.
It's gone out of style.	Se ha pasado de moda.
Just because he likes painting doesn't mean he's good at painting.	Solo porque a él le gusta pintar no significa que sea bueno para ello.
I'm not in college anymore.	Ya no estoy en la universidad.
Why don't you study French?	¿Por qué no estudias francés?
I mean it when I say that I love you.	Hablo en serio cuando digo que te quiero.
Don't have a cow.	No te comas un cable.
I'm a student.	Soy un estudiante.
The new telescope was shipped in a huge wooden box.	El nuevo telescopio fue transportado en una enorme caja de madera.
Where are you going now?	¿Adónde vas ahora?
Forget about her.	Olvídate de ella.
Tom told Mary the truth.	Tom le dijo a Mary la verdad.
I'll see if Tom can help us.	Voy a ver si Tomás nos puede ayudar.
The water's cold today.	El agua está fría hoy.
Tom's house has three bedrooms.	La casa de Tom tiene tres habitaciones.
He bores everybody.	Él aburre a todo el mundo.
He washes his car at least once a week.	Él lava su coche al menos una vez a la semana.
Stop. You're making me blush.	Detente. Me haces sonrojar.
What do you base your theory on?	¿En qué basas tu teoría?
Would you say that's true?	¿Dirías que es verdad?
I can't believe he kissed you.	No me puedo creer que te besara.
If only I'd been a couple of years older, they would've let me into the bar.	Si hubiera tenido un par de años más, me habrían dejado entrar en el bar.
Every ship needs an anchor.	Cada barco necesita un ancla.
That can't last.	Eso no puede durar.
Maybe you should ask Tom.	Quizá deberías preguntarle a Tom.
I wanted a key to Tom's house, but he wouldn't give me one.	Quería una llave de la casa de Tom, pero él no me daba una.
What's that for?	¿Para qué es eso?
Tom cried as he read the letter he got from Mary.	Tom lloraba mientras leía la carta que había recibido de parte de Mary.
How does this work?	¿Cómo se usa esto?
I'm going to be there.	Voy a estar allí.
He traveled to Hawaii with the family.	Él viajó con su familia a Hawai.
I was very glad to get a present from her.	Me alegré mucho de recibir un regalo de ella.
Tom will be busy at this time tomorrow.	Mañana a estas horas, Tom estará ocupado.
Neither Tom nor Mary had a job.	Ni Tom ni Mary trabajaron.
Tom wants me to move to Boston.	Tomás quiere que me mude a Boston.
He didn't get in until 2 o'clock in the morning.	Él no regresó hasta las dos de la mañana.
I'm at the library.	Estoy en la biblioteca.
It's a beautiful rug.	Es una hermosa alfombra.
Don't quote me on this, but I agree with you.	No digas que yo te lo he dicho, pero estoy de acuerdo contigo.
In spite of being insulted, he managed to keep his temper.	A pesar de ser insultado, él consiguió mantener su temperamento.
I don't know how to interpret his words.	No sé cómo interpretar sus palabras.
In Japan a new school year starts in April.	En Japón, el nuevo curso escolar comienza en abril.
Lincoln won the election.	Lincoln ganó las elecciones.
I have a meeting this afternoon.	Tengo una reunión esta tarde.
Put it on.	Pónganselo.
I'm having trouble with my left ear again.	Tengo problemas con mi oído izquierdo otra vez.
Indigenous Australians have eaten kangaroos for millennia.	Los indígenas australianos han comido canguros durante milenios.
Tom lost their trust.	Tom perdió su confianza.
I really appreciate the fact that you like me just the way I am.	Aprecio mucho que te guste tal como soy.
He had to look for his room by himself.	Él tuvo que buscar su habitación por sí solo.
Let's forget the whole thing, OK?	Olvidemos todo el asunto, ¿de acuerdo?
One of us is wrong.	Uno de nosotros se equivoca.
I think that you're right.	Creo que tienes razón.
He was too drunk to remember to shut the back door.	Él iba borracho y olvidó cerrar la puerta trasera.
Tom did a pretty good job.	Tomás hizo un muy buen trabajo.
It's no concern of mine.	No es asunto mío.
Do you think it means something?	¿Crees que significa algo?
He's writing a book now.	Ahora está escribiendo un libro.
I don't think they heard us.	No creo que ellos nos hayan oído.
Now it's time for the weather forecast.	Y ahora, el parte meteorológico.
I'm responsible for Tom's safety.	Soy responsable de la seguridad de Tom.
Tom knows the secret.	Tom conoce el secreto.
It's thanks to his father that he owns this hotel.	Él es dueño de este hotel gracias a su padre.
How old are your brothers and sisters?	¿Cuántos años tienen tus hermanos?
It's quite clear to me that this is the truth.	Para mí está muy claro que esta es la verdad.
They stole horses and cattle.	Ellos robaron caballos y ganado.
Do you have a passport?	¿Tiene pasaporte?
Everything depends on whether you pass the examination.	Todo depende de si pasas el examen.
Tom put his shirt on a hanger.	Tom puso su camisa en un colgador.
Stop showing off your iPhone.	Deja de presumir de iPhone.
Why worry about Tom?	¿Por qué preocuparse por Tom?
I'd like to see what you have in your hand.	Quisiera ver lo que tienes en tu mano.
Things might've turned out better if you hadn't gone there.	Las cosas hubieran terminado mejor si no hubiésemos ido allí.
He found me a nice tie.	Él me encontró una bonita corbata.
I know where you keep your gun.	Conozco dónde mantienes tu pistola.
I believe it is a genuine Picasso.	Creo que se trata de un Picasso auténtico.
It was such an interesting book that I read it in a day.	Era un libro tan interesante que me lo leí en un día.
We're only asking you to help us for a few hours.	Solo te pedimos que nos ayudes durante unas pocas horas.
How can you stand all these noises?	¿Cómo haces para soportar todo este ruido?
All you have to do is apologize for being late.	Todo lo que tienes que hacer es pedir perdón por llegar tarde.
Don't open those windows.	No abras esas ventanas.
